"" "T cells CD8" "Monocytes" "T cells CD4" "NKT cells" "B cells" "NK cells"
"ANKRD35" -0.088967152371978 -0.0926672830959533 -0.0897037587602561 -0.0441726217388595 -0.09641978855325 -0.09641978855325
"ANKRD36C" -0.0157663227510973 -0.0831620006047223 0.00111123007065402 0.0387429097606475 -0.09641978855325 -0.0229197217699967
"ANKRD55" -0.09641978855325 -0.09641978855325 -0.0669126222077214 -0.09641978855325 -0.09641978855325 -0.09641978855325
"ANKS1A" -0.0820368404562832 -0.047165809776572 -0.09641978855325 -0.0718501991399883 -0.09641978855325 -0.031962077475067
"ANO10" -0.0918743556151808 -0.0403642273140791 -0.0882178392096545 -0.0819048311152616 -0.09641978855325 -0.09641978855325
"ANO6" -0.0713757390689335 0.0739920803179566 -0.0571959979723329 -0.0746473523962673 -0.09641978855325 -0.0201432702550195
"ANO9" -0.0682588583388469 -0.09641978855325 -0.0531177571381617 -0.09641978855325 -0.09641978855325 -0.0398421896723657
"ANPEP" -0.0880495843379826 0.0695884687658897 -0.09641978855325 -0.09641978855325 -0.09641978855325 -0.0532840983214833
"ANTXR2" -0.0795455223062058 -0.039047601599692 -0.0696918607595529 -0.09641978855325 0.0258661354546734 -0.09641978855325
"AOAH" 0.130969568632637 0.13848425167948 -0.0862434333043183 0.0425669005533359 -0.09641978855325 0.120272014677292
"AP000476.1" -0.09641978855325 -0.09641978855325 -0.0917344249907211 -0.09641978855325 -0.09641978855325 -0.0459967394848893
"AP000783.1" -0.09641978855325 -0.0897934082369883 -0.09641978855325 -0.09641978855325 -0.0813624271004515 -0.0461771010003764
"AP001189.4" -0.0866690018094128 0.00169427841379694 -0.0756982789400998 -0.09641978855325 -0.09641978855325 -0.0567553351138512
"AP003774.6" -0.087856073785319 -0.0319040381033121 -0.0889794229488811 -0.09641978855325 -0.09641978855325 -0.0836295249694706
"AP1AR" -0.0830505773509985 -0.0504355645961431 -0.0878249815086109 -0.09641978855325 -0.0468071973087195 -0.09641978855325
"AP1S3" -0.07166910319706 -0.09641978855325 -0.09641978855325 -0.058673212639021 -0.0877968813815516 -0.09641978855325
"AP3M2" -0.0634232717164992 -0.090207713453026 -9.87721361309047e-05 -0.067392850493811 -0.09641978855325 -0.0836295249694706
"AP5S1" -0.0762292902717336 -0.0904553561336859 -0.0821209377007123 -0.09641978855325 -0.09641978855325 -0.00668547225133852
"APBA2" 0.129492525193334 -0.0929985366733062 0.00270110699492426 -0.09641978855325 -0.09641978855325 -0.0205398098931019
"APBA3" -0.0758588357166346 -0.0726514627109789 -0.053122093396679 -0.0586053304964956 0.0378542904344033 -0.0613280170420379
"APITD1" -0.0764313789862588 -0.09641978855325 -0.09641978855325 -0.0791569396851862 -0.0784697367795891 -0.09641978855325
"APLP1" -0.0808873620821199 -0.0942600722710421 -0.0903305073889524 -0.09641978855325 -0.09641978855325 -0.09641978855325
"APLP2" 0.00545903075569274 0.878356698195517 -0.0189880893828859 0.0582735949324851 0.00878627691573717 0.00846343885215942
"APMAP" 0.200486895300767 -0.0313245535840515 -0.0427732946113822 0.275258518884091 -0.0531509277341904 0.483666112750765
"APOBEC3A" -0.0832888116016887 0.0471109664736003 -0.0726211895358518 -0.09641978855325 -0.09641978855325 -0.0529730329959096
"APOBEC3D" -0.0591826428114958 -0.0935120778092904 -0.0855818410676482 -0.00275188327995939 -0.0620354671557042 0.030028005306217
"APOBEC3H" -0.0360053955784673 -0.092645914346687 -0.0635382678995883 0.0278644471045299 -0.09641978855325 -0.09641978855325
"APOL2" -0.0481253182776126 -0.0571610739239068 -0.0548755877929737 -0.0587357926832163 -0.09641978855325 0.0450269386720718
"AQP3" -0.0691211798370936 -0.0946930752219931 0.152374518579434 -0.0750484755027536 -0.09641978855325 -0.09641978855325
"AQP9" -0.0877498288408456 0.126840313124333 -0.09641978855325 -0.09641978855325 -0.09641978855325 -0.09641978855325
"AREG" -0.0869769297133866 -0.0954104756380627 -0.09641978855325 -0.09641978855325 -0.09641978855325 -0.0406592600416539
"ARHGAP11B" -0.0678177233231853 -0.0905152634605247 -0.0868523984085511 -0.0673898736772732 -0.09641978855325 -0.09641978855325
"ARHGAP18" -0.045132230940958 -0.036680908799872 -0.090952265433281 -0.0792198815259788 -0.09641978855325 -0.09641978855325
"ARHGAP21" -0.0922646006603962 -0.0724510363328258 -0.09641978855325 -0.0760042035820458 -0.09641978855325 -0.09641978855325
"ARHGAP24" -0.0807249012461534 0.0326385012907968 -0.09641978855325 -0.09641978855325 0.665616697840841 -0.09641978855325
"ARHGAP29" -0.09641978855325 -0.0491661865229943 -0.0819724148272506 -0.09641978855325 -0.09641978855325 -0.09641978855325
"ARHGEF19" -0.0815564753842371 -0.0911601936802831 -0.09641978855325 -0.0501057437668568 -0.09641978855325 -0.09641978855325
"ARHGEF40" -0.0884623971760939 -0.0408232007166191 -0.0853338149580451 -0.09641978855325 -0.09641978855325 -0.09641978855325
"ARID3B" -0.073600034307874 -0.0547456048694044 -0.0869144017822699 -0.0320499119611284 -0.09641978855325 -0.09641978855325
"ARL11" -0.092182429786547 -0.0405997003671567 -0.09641978855325 -0.09641978855325 0.0614383455747794 -0.0625128764777274
"ARL17A" -0.0689430315885987 -0.0921404654027888 -0.09641978855325 -0.09641978855325 -0.09641978855325 -0.0657632965796891
"ARL17B" -0.0633367974229704 -0.0866208180147285 -0.0883182953615573 -0.09641978855325 -0.09641978855325 -0.09641978855325
"ARL4D" -0.0885897736608881 -0.09641978855325 -0.09641978855325 -0.09641978855325 -0.09641978855325 -0.0641909330141584
"ARNT" -0.0768237042906637 -0.0262620632203297 -0.0761366435576824 -0.0166697640849292 -0.09641978855325 -0.09641978855325
"ARRB1" -0.0807614072141372 0.0233048572160881 -0.0798310682817435 -0.09641978855325 -0.09641978855325 -0.0230731875739951
"ARRDC4" -0.09641978855325 -0.0356441475385525 -0.0897541853818988 -0.09641978855325 -0.09641978855325 -0.09641978855325
"ARRDC5" -0.0459802535319968 -0.0894548647353009 -0.0806461057663313 -0.0536903726222442 -0.0594031746085235 -0.09641978855325
"ARV1" -0.0517822113719738 -0.0721220831623289 -0.0739741034717662 -0.0336663378964405 -0.09641978855325 -0.09641978855325
"ARVCF" -0.09641978855325 -0.09641978855325 -0.09641978855325 -0.09641978855325 -0.09641978855325 -0.0641909330141584
"ASB2" -0.0725394108737156 -0.09641978855325 -0.0919810230729594 -0.0742169590866063 -0.09641978855325 -0.09641978855325
"ASCL2" -0.0457383891420263 -0.00911260892761873 -0.0897037587602561 0.43422182234373 -0.09641978855325 0.157764700216625
"ASGR1" -0.0492596406422638 0.350388292965286 -0.0747950336492701 -0.0724006380066805 -0.09641978855325 -0.0836295249694706
"ASGR2" -0.0857959388629107 0.0165214537692055 -0.09641978855325 -0.0822393441624297 -0.09641978855325 -0.09641978855325
"ASTN2" -0.0820796366607197 -0.09641978855325 -0.0870879441133583 -0.09641978855325 -0.09641978855325 -0.09641978855325
"ASXL2" 0.0626613734305013 -0.00371497152452887 0.00507491440557237 -0.0556880411417644 -0.09641978855325 -0.0525622357502578
"ATAD2" -0.0386872679283237 -0.0924604968282267 -0.0798099324970173 -0.09641978855325 -0.066898779976115 -0.0657632965796891
"ATAD3A" -0.0737310715919801 -0.0867892597779245 -0.0847428700173523 -0.09641978855325 -0.0718803331257352 -0.0241091031635028
"ATCAY" -0.0843715486373462 -0.09641978855325 -0.09641978855325 -0.09641978855325 -0.09641978855325 -0.09641978855325
"ATG2A" -0.0105753327162636 -0.0662622034251951 -0.0605803715796624 -0.0746473523962673 -0.09641978855325 0.0857614789015702
"ATG4C" -0.0875055765558631 -0.0656723355257001 -0.0851473290721851 -0.09641978855325 -0.0295160847955908 -0.09641978855325
"ATG9B" -0.09641978855325 -0.09641978855325 -0.061020048681596 -0.09641978855325 -0.09641978855325 -0.09641978855325
"ATL1" -0.09641978855325 -0.0941066799698226 -0.09641978855325 -0.0695759275858019 -0.0745859061982703 -0.09641978855325
"ATMIN" -0.0203673830061277 -0.0508742598380213 -0.0743247070169875 -0.0350544258017106 -0.09641978855325 0.0710570740583976
"ATP10A" -0.09641978855325 -0.0907475719822037 -0.0699885409197989 -0.0799293626594738 -0.09641978855325 -0.00362354558931579
"ATP10D" -0.0700662422594892 -0.0658146022111866 -0.09641978855325 -0.0742169590866063 -0.0334347732610401 -0.09641978855325
"ATP11C" -0.0634245019161656 -0.0834163073160151 -0.0792593426087534 -0.09641978855325 -0.09641978855325 -0.09641978855325
"ATP1A3" -0.0850869155174276 -0.09641978855325 -0.09641978855325 -0.0503959645513121 -0.09641978855325 -0.09641978855325
"ATP1B3" 0.0895389330095929 0.149035828696831 0.0130604735670999 0.376996260710881 -0.0732844048377959 0.189586949803838
"ATP2B4" -0.0248718699157084 -0.0391180058729058 -0.0563054088330634 0.0917723301164369 -0.09641978855325 0.0572620855777748
"ATP6V1B2" -0.00971640377077184 0.571097497357131 -0.0325397391052106 -0.045556790018914 0.00194316686031462 -0.0043089237242435
"ATPAF2" -0.0528305446274329 -0.0549409037055109 -0.0851606916931449 -0.084592876049457 0.0208532924276489 -0.0743287103527296
"ATXN1L" -0.00504324139357824 -0.0744020021818576 -0.0856137929088162 -0.0336600777969548 -0.09641978855325 0.0218755920068129
"AUH" -0.0509659099425136 -0.0696168968799984 -0.09641978855325 -0.0504982324803041 -0.0770009323422865 -0.09641978855325
"AUTS2" -0.0452819699439335 -0.0946975351938928 -0.0818929197086626 0.0229025485595639 -0.0784919213020963 -0.0766532314584503
"B3GALT2" -0.09641978855325 -0.09641978855325 -0.0768440144547653 -0.09641978855325 -0.09641978855325 -0.09641978855325
"B3GAT1" -0.089929227106044 -0.09641978855325 -0.09641978855325 -0.0327404407402208 -0.09641978855325 -0.0158770174616502
"B3GNT7" -0.088967152371978 -0.09641978855325 -0.09641978855325 -0.09641978855325 -0.09641978855325 -0.0162772555784621
"B3GNT8" -0.09641978855325 -0.0681575228423489 -0.09641978855325 -0.09641978855325 -0.09641978855325 -0.09641978855325
"B4GALNT3" -0.0848332868543197 -0.09641978855325 -0.09641978855325 -0.0773571760774435 -0.09641978855325 -0.0543646009339423
"B9D2" -0.0905867525480267 -0.0723125127507987 -0.0742783621960587 -0.0508315185908706 -0.0785140510564566 -0.09641978855325
"BACE2" -0.09641978855325 -0.09641978855325 -0.09641978855325 -0.09641978855325 0.0263223410368176 -0.09641978855325
"BACH1" -0.0619147647533993 0.234056403940233 -0.0596145226448804 -0.0716350538736725 -0.0507269770696392 -0.0836295249694706
"BACH2" -0.0888826190983094 -0.0928957563664817 -0.0497416707438606 -0.09641978855325 0.117652486118178 -0.0836295249694706
"BAG2" -0.0706163961205972 -0.0926546312327719 -0.083339359152 -0.09641978855325 -0.0352997476555861 -0.0337500436812385
"BAG3" -0.0914872281332843 -0.0931189216875097 -0.0714705767852915 -0.09641978855325 -0.09641978855325 -0.09641978855325
"BANK1" -0.09641978855325 -0.0767478839790345 -0.09641978855325 -0.09641978855325 1.02554279287787 -0.09641978855325
"BARD1" -0.0864445358920592 -0.0837795541736678 -0.0742478413628402 -0.0187583656490202 -0.0486834312037158 -0.09641978855325
"BASP1" -0.0893036806747858 0.0882738627839741 -0.083661660080374 -0.09641978855325 0.1795131520101 -0.09641978855325
"BATF" 0.0601693646692806 -0.00921085410291985 0.00355198703355618 0.326213740733787 -0.09641978855325 0.0584358350968187
"BBS1" -0.0778251755800426 -0.09641978855325 -0.0776287791022869 -0.09641978855325 -0.0572862684455307 -0.09641978855325
"BCAT1" -0.0905867525480267 -0.0319868104212089 -0.09641978855325 -0.0851522061471682 -0.09641978855325 -0.09641978855325
"BCDIN3D" -0.09641978855325 -0.0919820545027941 -0.0850536774851204 -0.0539905454145785 -0.0187666063366445 -0.0259563033345917
"BCKDHB" -0.0747471615530935 -0.0910578746755625 -0.053218608056765 -0.0728565459591129 -0.09641978855325 -0.09641978855325
"BCL11A" -0.0932575703201933 -0.063174825921311 -0.09641978855325 -0.09641978855325 0.146754379127876 -0.09641978855325
"BCL11B" 0.257164702792573 -0.0903303608906595 0.32647599470059 0.101735384287079 -0.09641978855325 -0.0369320002552892
"BCL2" 0.0037270282567949 -0.0912802057995289 0.0608817043654407 -0.0584072884589762 -0.0384017215489582 -0.0625128764777274
"BCL7A" -0.0948386794367217 -0.0952267481811404 -0.0810579208977987 -0.09641978855325 0.0755929792276957 -0.09641978855325
"BCL9L" -0.017225616446056 -0.0897772526445425 -0.0491693153788996 -0.0120383202840216 -0.09641978855325 0.0612104713786499
