NAME	T cells CD8	Monocytes	T cells CD4	NKT cells	B cells	NK cells
BARD1	4.43834666266419	5.35693301919243	8.64239696138296	27.7689354174847	17.4541341011929	1
BASP1	3.45283469062075	64.6616255507251	5.39756966028741	1	96.110684163046	1
BATF	54.9743513953082	31.0598449890286	35.4590390463826	146.676569236953	1	54.3768251147666
BBS1	7.409333941856	1	7.47702938745384	1	14.4888421206782	1
BCAT1	3.01057562780224	23.2092535247493	1	4.88379679975144	1	1
BCDIN3D	1	2.52963223894468	4.91775841534508	15.6248372347295	27.7660949540144	25.2878950007806
BCKDHB	8.47028744515607	2.84818563629635	15.890914529027	9.12195934147154	1	1
BCL11A	2.08997765545806	12.4591289261917	1	1	84.8191388520403	1
BCL11B	122.87621678182	3.09895067246383	146.766964947433	69.3016461202952	1	21.5047075308014
BCL2	35.5193735989191	2.77155083775431	55.2198861100833	14.1024403368912	20.9981127129284	12.6872947418861
BCL7A	1.54498882772903	1.41122631387835	6.29504646943994	1	60.2906812612641	1
BCL9L	28.2972551789697	3.28960026869185	17.2866558137823	30.0852522405752	1	55.3332080479887
BCOR	3.54110233019084	3.73731925835041	3.09323257907186	1	24.9458334366272	13.8289009480558
BCS1L	8.2303483855636	3.3184481284948	1	1	31.6871972119856	1
BEND5	1	1	1	1	27.5604379890094	1
BFSP1	4.57914560279284	1.85189469900005	1	15.0500397714585	1	11.5278672646495
BHLHE40	16.073585548781	14.1007835202264	3.82848625072834	22.2026777230623	11.9289617486339	58.2135056392058
BHLHE41	1	1	1	1	28.5269667509859	1
BIRC3	45.4202573154175	20.1209352011913	139.497617283345	14.7681309073887	438.301042639597	12.6872947418861
BLK	2.30498556685963	1.35828784272024	1	1	128.880932365285	1
BLNK	1.79663247520083	1	1	1	98.4776135112535	1
BMP2K	5.14552621734843	31.1461571546023	3.09890017630762	1	35.0888671400085	15.9365135016495
BMPR1A	5.17416927527835	1	1	1	12.8518518518518	1
BOK	1	1	1	1	1	11.5669149891689
BOLA2B	12.3661213439882	9.88677333089786	8.10160584954803	33.6883690608155	7.17188705446692	11.612331529237
BOLA3.AS1	5.52943680982707	1	1	1	1	1
BPHL	5.37300039310995	1	3.0671834625323	12.7670156999346	26.1572327044025	1
BRCA1	4.31653430486382	3.22896275839353	1	1	1	13.0957011877979
BRI3	37.6320058632431	268.572858916515	40.9569186224018	28.1377851553177	32.2793433252289	16.020977766237
BRPF3	3.49472365946024	2.64785367059405	1	11.8135396631752	1	1
BST1	5.47499978879897	91.8604557002167	8.14244900291412	5.88782442934649	1	1
BTAF1	8.47528940255938	13.6808429272324	9.50903242100711	22.012145849628	1	1
BTBD11	1	3.2015840376289	8.24931856405498	1	1	1
BTBD2	3.30726280184765	15.6788252092689	6.59220451378076	8.67471488434205	24.1587938397112	1
BTD	13.5954397118486	3.15814771524424	8.52981757849719	1	1	1
BTK	7.78905448479902	57.6617359104519	3.20017161338585	7.41679660679795	80.0281883557732	1
BTLA	5.67696575544929	1.71657568544047	7.27583627876077	23.5018059769986	49.3354601045035	1
BUD13	6.70349321720395	7.59711081780321	12.5975689350403	12.3884872312711	7.70465973851828	40.0919148977458
C10orf11	4.62287134070565	34.9134277386352	1	1	1	1
C10orf128	8.69067886981463	4.04441893092214	4.19931406706402	48.6812168739253	22.8723078926647	24.1475041073532
C10orf35	1	1	7.69245288708457	1	1	1
C10ORF68	6.46117869963908	1	1	1	1	1
C11orf24	1	8.4151412605735	5.50866281843466	8.06349374527629	16.4083204930662	1
C11orf63	9.15657291032693	1	3.31493270490627	1	1	1
C11orf71	4.2302157831113	7.97635231504705	2.32768976669835	10.176163996403	1	1
C12orf39	3.69890964050524	24.2921121434544	1	1	1	1
C12orf42	5.43456192606072	1.83511421439553	5.86131650987311	1	19.7327950043615	1
C12orf75	261.527829550408	40.8768346105087	51.1766979930194	434.562510325767	92.3401461300203	324.541772725191
C14orf23	3.35732302397397	3.25879139524073	10.6911964444739	1	6.5540127742294	22.3021007677184
C14orf64	25.8458245297347	2.53174969015389	50.1127976700195	20.7314718886924	17.3259443949806	13.8289009480558
C14orf80	9.32666565091066	5.53025594166551	3.82848625072834	19.6311367976633	1	1
C16orf46	1	1.59582647388105	1	6.92571523382873	1	1
C16orf58	7.5095144382915	3.23757126479504	1	14.739620843697	22.680216802168	1
C16orf74	8.0900176122666	10.709122814724	14.1142751133849	1	46.2694975553402	1
C17orf75	11.2570065738396	2.07953865500063	4.32842151270884	1	25.230341629225	1
C19orf33	3.56214264860694	67.9613136411257	1	1	1	1
C19orf38	8.91759240081194	160.787991492901	9.52336807597206	1	22.680216802168	5.408646237
C19orf55	19.6352888615842	1.80986873647519	9.3059490303942	28.8582264675626	11.1755278555075	8.614522417154
C19orf59	3.46110807823432	71.6360309829771	8.14244900291412	8.76759359950288	7.18716163959784	1
C19orf68	14.2186720456041	2.80048637464665	1	9.12195934147154	1	1
C1orf115	1	6.04226183645728	3.45107651280442	1	14.2934529744101	1
C1orf167	8.24675177926054	1	3.96630280018985	1	1	1
C1orf177	1	1	3.45107651280442	13.1758240164824	1	25.2553363698194
C1orf186	1	1.53878004035462	1	8.35975977744086	67.8162297041481	1
C1orf204	2.38677405844975	1	1	7.31217492299146	1	1
C1orf21	71.6131457304757	4.31527033917645	3.8860528609442	100.290567250805	1	126.823723220714
C1orf228	12.3839803781083	47.3787928332713	49.4089063850458	1	17.3259443949806	1
C1orf85	6.89869021949506	33.0889654225	5.63401286892337	19.0100668478485	1	1
C1QA	1.65623170754115	20.6446092614265	1	1	1	1
C21orf58	1	1.78048475908387	3.96630280018985	6.00312695434646	1	1
C22orf34	6.13383598256346	3.98279523707256	1	1	1	1
C2orf40	1	1	5.73117696208385	1	1	1
C2orf42	16.1162766737434	4.4240262290385	5.49571175530024	6.18500082960012	18.0068027210884	1
C2orf43	6.48792939339253	2.23403816862627	7.27882240021311	16.8203375066235	30.6704505110453	9.69209975053674
C2orf47	1	11.6624350132964	4.3184666029521	20.435156597161	1	1
C2orf88	1	26.933780517605	1	7.46441661872224	1	1
C3AR1	13.2729477197247	63.0769357841557	15.4459541232008	15.5699785898964	1	12.3785060021619
C4orf32	9.27609850264791	20.2688629968684	32.9165563701527	1	1	1
C4orf36	5.20491803335086	6.0716282779004	9.07432131744132	1	1	1
C5AR1	3.28566957546269	71.3748731557536	4.21173342015951	1	1	1
C5AR2	1	2.14209813706662	8.05148997983274	1	1	1
C5orf30	12.5751251241185	3.69336249123865	6.85209013154903	15.5119404366433	1	40.5007816567079
C5orf45	16.3833090960841	3.02040784380994	24.9371907712384	1	20.465340028877	1
C6orf203	14.8458152216991	4.14798895637083	8.6197666052734	44.1556903237993	1	38.5060727391235
C6orf25	16.0466077970742	86.4284274203525	11.2423975437683	12.7950014388818	1	15.7657595023907
C6orf89	19.2094561001084	26.3764806222331	18.1497535069223	91.1088081559786	9.17828664894704	62.6318342954396
C7orf60	6.88332204375928	14.5942621924366	1	15.3489149764442	24.7114624596067	1
C8orf58	6.50227784456131	2.72885588100655	1	1	1	1
C8orf76	22.0819452629548	18.1818396425054	5.42676789585737	15.7265342968245	1	38.4590155266571
C9orf139	8.9205378536616	10.1972926027566	1	40.6463173200786	1	29.2941459412048
C9orf37	6.65241300905714	7.74715831263435	13.9207865277936	34.9128815304303	1	16.6472484313633
C9orf72	15.4396298535058	63.3435065113508	1	12.6513903992543	6.19008693395616	5.408646237
CA13	1	4.52770650994752	1	1	1	13.6449426551851
CA2	8.2604964567073	58.1209184951944	4.98930645397995	14.3356509277609	1	13.6449426551851
